line_id,molecule,transition,E(K),Aij(s-1),freq
h2_v2_j15__v1_j15,h2,v2_j15__v1_j15,4748.72433106,3.432e-07,98947.36020797574
h2_v2_j15__v1_j13,h2,v2_j15__v1_j13,8285.87260807,1.8e-08,172649.57163876752
h2_v2_j15__v2_j13,h2,v2_j15__v2_j13,3335.38939975,1.14e-06,69498.23855057494
h2_v2_j16__v0_j18,h2,v2_j16__v0_j18,5549.22441337,2.89e-11,115627.07553126158
h2_v2_j16__v0_j16,h2,v2_j16__v0_j16,9604.87355501,9.923e-08,200133.09199346468
h2_v2_j16__v0_j14,h2,v2_j16__v0_j14,13467.95727272,1.35e-07,280626.69606091623
h2_v2_j16__v1_j18,h2,v2_j16__v1_j18,814.60155319,2.313e-10,16973.5423010911
h2_v2_j16__v1_j16,h2,v2_j16__v1_j16,4640.71094821,3.436e-07,96696.72648930814
h2_v2_j16__v1_j14,h2,v2_j16__v1_j14,8290.93819183,7.834e-08,172755.12127821194
h2_v2_j16__v2_j14,h2,v2_j16__v2_j14,3438.87799334,1.373e-06,71654.59095881862
h2_v2_j17__v0_j19,h2,v2_j17__v0_j19,5252.04292713,1.157e-11,109434.8180919743
h2_v2_j17__v0_j17,h2,v2_j17__v0_j17,9379.57657435,9.582e-08,195438.66461781657
h2_v2_j17__v0_j15,h2,v2_j17__v0_j15,13347.33980876,9.861e-08,278113.43590476003
h2_v2_j17__v1_j19,h2,v2_j17__v1_j19,637.91383495,7.239e-11,13291.967612354401
h2_v2_j17__v1_j17,h2,v2_j17__v1_j17,4528.21562575,3.455e-07,94352.70430205321
h2_v2_j17__v1_j15,h2,v2_j17__v1_j15,8274.53672532,1.827e-07,172413.37016747904
h2_v2_j17__v2_j15,h2,v2_j17__v2_j15,3525.81239427,1.608e-06,73466.00995971166
h2_v2_j18__v0_j20,h2,v2_j18__v0_j20,4961.78567834,5.375e-12,103386.83835115215
h2_v2_j18__v0_j18,h2,v2_j18__v0_j18,9146.00992721,9.22e-08,190571.92535144772
h2_v2_j18__v0_j16,h2,v2_j18__v0_j16,13201.65907028,6.604e-08,275077.9418434472
h2_v2_j18__v1_j20,h2,v2_j18__v1_j20,471.77489353,1.698e-11,9830.19376843303
